Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Customer_Segment
8,95,1922.28,4,3,3,433,10,Champions
522,23,311.78000000000003,1,2,1,121,4,Needs Attention
59,162,3689.86,3,4,4,344,11,Champions
14,133,1899.05,4,3,3,433,10,Champions
29,16,349.83000000000004,3,1,2,312,6,Potential Loyalist
618,90,1149.99,1,3,3,133,7,Loyal Customers
130,63,1089.18,2,3,3,233,8,Loyal Customers
91,34,716.35,3,2,2,322,7,Loyal Customers
7,273,4106.82,4,4,4,444,12,Champions
408,43,732.94,1,2,2,122,5,Potential Loyalist
28,34,640.45,3,2,2,322,7,Loyal Customers
21,505,9498.9,4,4,4,444,12,Champions
19,775,22107.29,4,4,4,444,12,Champions
29,52,981.18,3,2,3,323,8,Loyal Customers
483,45,423.38,1,2,2,122,5,Potential Loyalist
447,43,980.25,1,2,3,123,6,Potential Loyalist
29,20,355.7,3,1,2,312,6,Potential Loyalist
74,50,1000.39,3,2,3,323,8,Loyal Customers
46,70,1141.5,3,3,3,333,9,Champions
197,21,383.58,2,1,2,212,5,Potential Loyalist
165,5,95.19999999999999,2,1,1,211,4,Needs Attention
575,49,1575.68,1,2,3,123,6,Potential Loyalist
78,57,964.83,3,3,3,333,9,Champions
357,10,168.0,2,1,1,211,4,Needs Attention
38,20,437.82,3,1,2,312,6,Potential Loyalist
7,244,4548.82,4,4,4,444,12,Champions
448,26,468.5,1,2,2,122,5,Potential Loyalist
681,1,129.23,1,1,1,111,3,Needs Attention
49,121,603.71,3,3,2,332,8,Loyal Customers
15,58,18716.14,4,3,4,434,11,Champions
1,22,1.0658141036401503e-14,4,2,1,421,7,Loyal Customers
310,22,536.21,2,2,2,222,6,Potential Loyalist
4,111,2101.39,4,3,3,433,10,Champions
302,16,238.85,2,1,1,211,4,Needs Attention
7,207,4966.92,4,4,4,444,12,Champions
408,13,249.24,1,1,1,111,3,Needs Attention
260,21,456.9,2,1,2,212,5,Potential Loyalist
281,10,131.17,2,1,1,211,4,Needs Attention
72,20,346.7,3,1,2,312,6,Potential Loyalist
22,658,13393.82,4,4,4,444,12,Champions
644,5,70.0,1,1,1,111,3,Needs Attention
1,191,4064.9900000000002,4,4,4,444,12,Champions
681,1,77.52,1,1,1,111,3,Needs Attention
39,34,519.61,3,2,2,322,7,Loyal Customers
8,62,1004.72,4,3,3,433,10,Champions
226,119,717.41,2,3,2,232,7,Loyal Customers
315,11,218.45,2,1,1,211,4,Needs Attention
456,38,622.8199999999999,1,2,2,122,5,Potential Loyalist
35,147,2083.87,3,4,3,343,10,Champions
34,303,1591.35,3,4,3,343,10,Champions
20,181,4572.45,4,4,4,444,12,Champions
72,31,410.72,3,2,2,322,7,Loyal Customers
246,58,1052.9,2,3,3,233,8,Loyal Customers
39,15,197.71,3,1,1,311,5,Potential Loyalist
238,103,1980.4,2,3,3,233,8,Loyal Customers
2,471,14344.9,4,4,4,444,12,Champions
3,126,1893.95,4,3,3,433,10,Champions
233,97,1982.81,2,3,3,233,8,Loyal Customers
16,96,2028.67,4,3,3,433,10,Champions
7,4,144.0,4,1,1,411,6,Potential Loyalist
38,48,938.98,3,2,3,323,8,Loyal Customers
28,212,3094.17,3,4,4,344,11,Champions
189,72,9853.48,2,3,4,234,9,Champions
316,69,1352.15,2,3,3,233,8,Loyal Customers
91,84,1152.62,3,3,3,333,9,Champions
108,21,418.09999999999997,2,1,2,212,5,Potential Loyalist
37,202,5044.51,3,4,4,344,11,Champions
504,19,299.02,1,1,1,111,3,Needs Attention
50,27,618.27,3,2,2,322,7,Loyal Customers
18,214,3683.13,4,4,4,444,12,Champions
9,211,4414.67,4,4,4,444,12,Champions
28,133,2296.72,3,3,4,334,10,Champions
28,140,4955.79,3,3,4,334,10,Champions
189,35,673.76,2,2,2,222,6,Potential Loyalist
58,12,153.12,3,1,1,311,5,Potential Loyalist
21,3,739.1999999999999,4,1,2,412,7,Loyal Customers
78,16,254.18,3,1,1,311,5,Potential Loyalist
364,82,1217.95,2,3,3,233,8,Loyal Customers
681,1,21.0,1,1,1,111,3,Needs Attention
57,202,3.552713678800501e-15,3,4,1,341,8,Loyal Customers
404,16,415.79,1,1,2,112,4,Needs Attention
77,176,3417.86,3,4,4,344,11,Champions
22,111,2057.99,4,3,3,433,10,Champions
51,65,1193.32,3,3,3,333,9,Champions
57,21,643.59,3,1,2,312,6,Potential Loyalist
30,347,6591.52,3,4,4,344,11,Champions
277,20,315.6,2,1,1,211,4,Needs Attention
1,278,5564.88,4,4,4,444,12,Champions
84,59,1045.35,3,3,3,333,9,Champions
28,42,355.53,3,2,2,322,7,Loyal Customers
21,11,177.31,4,1,1,411,6,Potential Loyalist
15,105,3354.95,4,3,4,434,11,Champions
14,92,1339.41,4,3,3,433,10,Champions
1,786,24579.31,4,4,4,444,12,Champions
231,11,180.1,2,1,1,211,4,Needs Attention
275,176,3639.84,2,4,4,244,10,Champions
105,38,641.13,2,2,2,222,6,Potential Loyalist
211,188,5095.38,2,4,4,244,10,Champions
22,307,6388.35,4,4,4,444,12,Champions
10,230,4478.53,4,4,4,444,12,Champions
3,43,769.61,4,2,2,422,8,Loyal Customers
385,45,1558.22,1,2,3,123,6,Potential Loyalist
9,64,1270.88,4,3,3,433,10,Champions
56,186,3452.27,3,4,4,344,11,Champions
520,38,738.88,1,2,2,122,5,Potential Loyalist
58,313,5595.21,3,4,4,344,11,Champions
535,20,490.0,1,1,2,112,4,Needs Attention
89,179,2930.41,3,4,4,344,11,Champions
738,1,141.0,1,1,1,111,3,Needs Attention
66,639,8271.66,3,4,4,344,11,Champions
32,48,921.49,3,2,3,323,8,Loyal Customers
238,64,1312.37,2,3,3,233,8,Loyal Customers
23,53,1174.58,4,2,3,423,9,Champions
114,10,185.9,2,1,1,211,4,Needs Attention
24,47,1013.26,4,2,3,423,9,Champions
127,56,7880.9,2,3,4,234,9,Champions
129,123,1815.54,2,3,3,233,8,Loyal Customers
33,163,3499.1,3,4,4,344,11,Champions
4,45,1346.97,4,2,3,423,9,Champions
21,574,17682.79,4,4,4,444,12,Champions
154,66,1097.0,2,3,3,233,8,Loyal Customers
106,124,2238.7,2,3,4,234,9,Champions
2,20,314.44,4,1,1,411,6,Potential Loyalist
334,32,365.3,2,2,2,222,6,Potential Loyalist
321,54,1011.58,2,3,3,233,8,Loyal Customers
148,86,4160.83,2,3,4,234,9,Champions
10,38,601.98,4,2,2,422,8,Loyal Customers
423,16,261.35,1,1,1,111,3,Needs Attention
16,253,6320.78,4,4,4,444,12,Champions
10,56,1152.06,4,3,3,433,10,Champions
18,36,686.05,4,2,2,422,8,Loyal Customers
29,5,91.68,3,1,1,311,5,Potential Loyalist
10,13,245.1,4,1,1,411,6,Potential Loyalist
435,11,162.0,1,1,1,111,3,Needs Attention
0,411,6949.17,4,4,4,444,12,Champions
624,11,204.0,1,1,1,111,3,Needs Attention
7,46,6052.04,4,2,4,424,10,Champions
324,21,301.45,2,1,1,211,4,Needs Attention
358,33,1020.98,2,2,3,223,7,Loyal Customers
57,33,620.13,3,2,2,322,7,Loyal Customers
6,546,11380.710000000001,4,4,4,444,12,Champions
150,102,1607.73,2,3,3,233,8,Loyal Customers
9,117,3750.39,4,3,4,434,11,Champions
605,45,2622.481,1,2,4,124,7,Loyal Customers
329,25,410.5,2,2,2,222,6,Potential Loyalist
4,74,1230.02,4,3,3,433,10,Champions
11,91,1919.31,4,3,3,433,10,Champions
553,115,934.8,1,3,3,133,7,Loyal Customers
24,108,2773.09,4,3,4,434,11,Champions
554,23,389.3,1,2,2,122,5,Potential Loyalist
41,381,33851.13,3,4,4,344,11,Champions
51,56,1058.67,3,3,3,333,9,Champions
0,53,880.81,4,2,3,423,9,Champions
14,1494,30551.76,4,4,4,444,12,Champions
3,1042,23945.81,4,4,4,444,12,Champions
3,561,12418.6,4,4,4,444,12,Champions
7,105,2283.63,4,3,4,434,11,Champions
27,157,2863.08,3,4,4,344,11,Champions
371,14,178.28,2,1,1,211,4,Needs Attention
480,126,2138.91,1,3,3,133,7,Loyal Customers
113,171,4873.8099999999995,2,4,4,244,10,Champions
25,72,1247.61,3,3,3,333,9,Champions
205,16,389.01,2,1,2,212,5,Potential Loyalist
27,39,1170.4,3,2,3,323,8,Loyal Customers
636,13,110.95,1,1,1,111,3,Needs Attention
120,83,1640.42,2,3,3,233,8,Loyal Customers
69,84,1839.45,3,3,3,333,9,Champions
6,59,1407.1200000000001,4,3,3,433,10,Champions
434,50,801.15,1,2,2,122,5,Potential Loyalist
20,43,939.02,4,2,3,423,9,Champions
589,16,339.75,1,1,2,112,4,Needs Attention
417,41,638.11,1,2,2,122,5,Potential Loyalist
7,270,4867.99,4,4,4,444,12,Champions
79,147,2446.41,3,4,4,344,11,Champions
19,12,219.0,4,1,1,411,6,Potential Loyalist
63,84,892.18,3,3,3,333,9,Champions
6,90,2220.84,4,3,4,434,11,Champions
14,626,11554.0,4,4,4,444,12,Champions
681,1,-91.89,1,1,1,111,3,Needs Attention
291,33,603.42,2,2,2,222,6,Potential Loyalist
29,336,5118.16,3,4,4,344,11,Champions
2,588,30312.61,4,4,4,444,12,Champions
96,79,1130.57,2,3,3,233,8,Loyal Customers
611,60,1339.05,1,3,3,133,7,Loyal Customers
22,294,6979.66,4,4,4,444,12,Champions
0,38,848.55,4,2,3,423,9,Champions
8,696,14093.71,4,4,4,444,12,Champions
105,21,353.86,2,1,2,212,5,Potential Loyalist
3,69,1053.49,4,3,3,433,10,Champions
150,72,1258.91,2,3,3,233,8,Loyal Customers
70,19,238.25,3,1,1,311,5,Potential Loyalist
4,42,608.1,4,2,2,422,8,Loyal Customers
2,533,8047.88,4,4,4,444,12,Champions
31,254,3906.68,3,4,4,344,11,Champions
84,57,904.33,3,3,3,333,9,Champions
3,69,725.07,4,3,2,432,9,Champions
4,129,2317.52,4,3,4,434,11,Champions
370,130,2694.56,2,3,4,234,9,Champions
27,179,4014.6,3,4,4,344,11,Champions
10,205,5646.53,4,4,4,444,12,Champions
70,61,1070.17,3,3,3,333,9,Champions
113,26,453.01,2,2,2,222,6,Potential Loyalist
521,47,829.25,1,2,2,122,5,Potential Loyalist
23,396,25673.21,4,4,4,444,12,Champions
179,12,236.26000000000002,2,1,1,211,4,Needs Attention
233,162,2326.82,2,4,4,244,10,Champions
352,19,639.65,2,1,2,212,5,Potential Loyalist
314,43,779.5699999999999,2,2,2,222,6,Potential Loyalist
332,4,234.0,2,1,1,211,4,Needs Attention
498,2,3710.5,1,1,4,114,6,Potential Loyalist
371,22,310.7,2,2,1,221,5,Potential Loyalist
77,89,2726.73,3,3,4,334,10,Champions
63,27,427.6,3,2,2,322,7,Loyal Customers
528,16,406.07,1,1,2,112,4,Needs Attention
599,68,1185.02,1,3,3,133,7,Loyal Customers
133,134,546.43,2,3,2,232,7,Loyal Customers
51,346,13158.16,3,4,4,344,11,Champions
486,23,925.41,1,2,3,123,6,Potential Loyalist
527,20,230.85000000000002,1,1,1,111,3,Needs Attention
1,265,9164.59,4,4,4,444,12,Champions
0,7307,49970.13,4,4,4,444,12,Champions
3,398,6328.49,4,4,4,444,12,Champions
128,15,275.88,2,1,1,211,4,Needs Attention
444,62,268.27,1,3,1,131,5,Potential Loyalist
80,53,4366.78,3,2,4,324,9,Champions
3,230,21024.01,4,4,4,444,12,Champions
235,65,2949.12,2,3,4,234,9,Champions
249,117,6406.349999999999,2,3,4,234,9,Champions
86,4,112.07999999999998,3,1,1,311,5,Potential Loyalist
15,377,4227.7,4,4,4,444,12,Champions
116,317,9779.0,2,4,4,244,10,Champions
51,302,5020.74,3,4,4,344,11,Champions
455,21,347.8,1,1,2,112,4,Needs Attention
457,27,782.95,1,2,2,122,5,Potential Loyalist
7,69,1898.52,4,3,3,433,10,Champions
137,34,814.16,2,2,2,222,6,Potential Loyalist
316,45,1693.88,2,2,3,223,7,Loyal Customers
471,68,1404.58,1,3,3,133,7,Loyal Customers
3,459,10026.43,4,4,4,444,12,Champions
375,43,949.82,2,2,3,223,7,Loyal Customers
431,20,3.552713678800501e-15,1,1,1,111,3,Needs Attention
238,32,1143.6,2,2,3,223,7,Loyal Customers
210,37,2975.95,2,2,4,224,8,Loyal Customers
464,16,262.5,1,1,1,111,3,Needs Attention
59,55,892.47,3,3,3,333,9,Champions
563,12,1.7763568394002505e-15,1,1,1,111,3,Needs Attention
535,6,98.7,1,1,1,111,3,Needs Attention
16,82,1651.32,4,3,3,433,10,Champions
667,4,55.5,1,1,1,111,3,Needs Attention
457,26,519.45,1,2,2,122,5,Potential Loyalist
19,115,1757.68,4,3,3,433,10,Champions
20,295,6406.76,4,4,4,444,12,Champions
598,20,337.4,1,1,2,112,4,Needs Attention
20,30,707.72,4,2,2,422,8,Loyal Customers
4,241,4526.04,4,4,4,444,12,Champions
1,86,1603.87,4,3,3,433,10,Champions
8,131,1804.75,4,3,3,433,10,Champions
2,58,1079.31,4,3,3,433,10,Champions
609,18,728.5,1,1,2,112,4,Needs Attention
9,45,859.18,4,2,3,423,9,Champions
462,26,444.9,1,2,2,122,5,Potential Loyalist
64,8,273.35,3,1,1,311,5,Potential Loyalist
191,40,563.45,2,2,2,222,6,Potential Loyalist
373,32,777.75,2,2,2,222,6,Potential Loyalist
256,48,813.88,2,2,2,222,6,Potential Loyalist
334,51,1017.33,2,2,3,223,7,Loyal Customers
52,45,860.41,3,2,3,323,8,Loyal Customers
18,14,430.48,4,1,2,412,7,Loyal Customers
627,7,381.0,1,1,2,112,4,Needs Attention
359,49,725.46,2,2,2,222,6,Potential Loyalist
9,33,8510.93,4,2,4,424,10,Champions
528,15,219.35,1,1,1,111,3,Needs Attention
469,34,584.25,1,2,2,122,5,Potential Loyalist
477,51,1031.87,1,2,3,123,6,Potential Loyalist
183,140,2350.42,2,3,4,234,9,Champions
392,55,1092.81,1,3,3,133,7,Loyal Customers
465,67,327.02,1,3,2,132,6,Potential Loyalist
381,58,1434.95,1,3,3,133,7,Loyal Customers
434,67,2878.96,1,3,4,134,8,Loyal Customers
382,18,269.95,1,1,1,111,3,Needs Attention
36,54,906.1,3,3,3,333,9,Champions
167,89,1705.34,2,3,3,233,8,Loyal Customers
534,32,534.99,1,2,2,122,5,Potential Loyalist
260,56,1033.9,2,3,3,233,8,Loyal Customers
44,15,229.64000000000001,3,1,1,311,5,Potential Loyalist
501,45,1687.8,1,2,3,123,6,Potential Loyalist
101,2,125.92,2,1,1,211,4,Needs Attention
147,47,1063.46,2,2,3,223,7,Loyal Customers
95,29,572.2,3,2,2,322,7,Loyal Customers
280,25,690.98,2,2,2,222,6,Potential Loyalist
177,16,1517.88,2,1,3,213,6,Potential Loyalist
457,19,540.52,1,1,2,112,4,Needs Attention
2,163,2647.94,4,4,4,444,12,Champions
213,13,220.8,2,1,1,211,4,Needs Attention
70,47,918.98,3,2,3,323,8,Loyal Customers
74,18,6501.5,3,1,4,314,8,Loyal Customers
59,25,397.12,3,2,2,322,7,Loyal Customers
520,24,518.63,1,2,2,122,5,Potential Loyalist
2,171,2928.69,4,4,4,444,12,Champions
5,25,430.15000000000003,4,2,2,422,8,Loyal Customers
2,56,1018.71,4,3,3,433,10,Champions
321,20,345.35,2,1,2,212,5,Potential Loyalist
37,39,6748.4,3,2,4,324,9,Champions
261,22,451.11,2,2,2,222,6,Potential Loyalist
31,27,383.03,3,2,2,322,7,Loyal Customers
144,24,417.38,2,2,2,222,6,Potential Loyalist
282,18,312.38,2,1,1,211,4,Needs Attention
417,630,6018.67,1,4,4,144,9,Champions
58,418,6546.47,3,4,4,344,11,Champions
172,92,688.41,2,3,2,232,7,Loyal Customers
33,427,3376.03,3,4,4,344,11,Champions
2,586,9927.83,4,4,4,444,12,Champions
143,181,4013.87,2,4,4,244,10,Champions
4,722,7390.4800000000005,4,4,4,444,12,Champions
69,48,1917.99,3,2,3,323,8,Loyal Customers
65,230,6345.61,3,4,4,344,11,Champions
28,103,648.6,3,3,2,332,8,Loyal Customers
266,27,354.09,2,2,2,222,6,Potential Loyalist
681,1,15.58,1,1,1,111,3,Needs Attention
21,126,1636.8999999999999,4,3,3,433,10,Champions
675,16,208.0,1,1,1,111,3,Needs Attention
30,148,3090.56,3,4,4,344,11,Champions
445,2,330.0,1,1,2,112,4,Needs Attention
96,80,284.13,2,3,1,231,6,Potential Loyalist
289,20,299.75,2,1,1,211,4,Needs Attention
107,157,3728.5,2,4,4,244,10,Champions
78,275,2922.37,3,4,4,344,11,Champions
372,70,650.9399999999999,2,3,2,232,7,Loyal Customers
7,317,2162.68,4,4,3,443,11,Champions
210,122,3684.25,2,3,4,234,9,Champions
382,50,151.73,1,2,1,121,4,Needs Attention
458,21,575.1,1,1,2,112,4,Needs Attention
692,17,55.47,1,1,1,111,3,Needs Attention
619,4,68.25,1,1,1,111,3,Needs Attention
425,133,1008.3199999999999,1,3,3,133,7,Loyal Customers
51,49,2775.5499999999997,3,2,4,324,9,Champions
137,7,299.57,2,1,1,211,4,Needs Attention
25,196,3303.31,3,4,4,344,11,Champions
282,63,1227.35,2,3,3,233,8,Loyal Customers
25,1076,7862.69,3,4,4,344,11,Champions
185,146,2247.06,2,4,4,244,10,Champions
681,37,337.66999999999996,1,2,2,122,5,Potential Loyalist
365,97,1647.15,2,3,3,233,8,Loyal Customers
83,18,744.02,3,1,2,312,6,Potential Loyalist
326,438,3678.34,2,4,4,244,10,Champions
281,35,2027.3,2,2,3,223,7,Loyal Customers
384,49,933.42,1,2,3,123,6,Potential Loyalist
142,8,1356.99,2,1,3,213,6,Potential Loyalist
57,171,4068.59,3,4,4,344,11,Champions
3,277,2955.17,4,4,4,444,12,Champions
17,49,841.64,4,2,2,422,8,Loyal Customers
44,12,552.5699999999999,3,1,2,312,6,Potential Loyalist
381,36,640.13,1,2,2,122,5,Potential Loyalist
275,7,298.0,2,1,1,211,4,Needs Attention
8,13,1463.04,4,1,3,413,8,Loyal Customers
24,42,703.47,4,2,2,422,8,Loyal Customers
87,7,309.05,3,1,1,311,5,Potential Loyalist
62,72,1158.27,3,3,3,333,9,Champions
67,86,1351.09,3,3,3,333,9,Champions
383,13,222.4,1,1,1,111,3,Needs Attention
213,7,313.77,2,1,1,211,4,Needs Attention
380,27,365.66,2,2,2,222,6,Potential Loyalist
23,139,717.27,4,3,2,432,9,Champions
185,12,819.5,2,1,2,212,5,Potential Loyalist
396,18,263.38,1,1,1,111,3,Needs Attention
30,34,188.14,3,2,1,321,6,Potential Loyalist
574,21,157.35,1,1,1,111,3,Needs Attention
41,24,347.3,3,2,2,322,7,Loyal Customers
730,1,-29.75,1,1,1,111,3,Needs Attention
204,14,514.25,2,1,2,212,5,Potential Loyalist
